weight_class,red_winner_ratio
Women's Flyweight,0.5648148148148148
Heavyweight,0.7233082706766917
Middleweight,0.6670092497430626
Bantamweight,0.6016
Featherweight,0.6068376068376068
Lightweight,0.669826224328594
Women's Bantamweight,0.5685279187817259
Flyweight,0.5975232198142415
Light Heavyweight,0.6830015313935681
Women's Strawweight,0.5882352941176471
Welterweight,0.6618004866180048
UFC Interim Heavyweight Title,0.625
Catch Weight,0.640625
Women's Featherweight,0.6190476190476191
UFC Interim Featherweight Title,0.75
UFC Interim Flyweight Title,1.0
UFC Interim Bantamweight Title,0.75
UFC Women's Featherweight Title,0.7142857142857143
UFC Interim Lightweight Title,0.3333333333333333
UFC Interim Middleweight Title,0.0
Ultimate Fighter 28 Heavyweight Tournament Title,1.0
Ultimate Fighter 28 Women's Featherweight Tournament Title,0.0
Ultimate Fighter 27 Lightweight Tournament Title,1.0
Ultimate Fighter 27 Featherweight Tournament Title,0.0
UFC Interim Welterweight Title,0.3333333333333333
Ultimate Fighter 25 Welterweight Tournament Title,0.0
Ultimate Fighter Latin America 3 Lightweight Tournament Title,1.0
Ultimate Fighter 23 Light Heavyweight Tournament Title,1.0
Ultimate Fighter 23 Women's Strawweight Tournament Title,1.0
UFC Interim Light Heavyweight Title,1.0
Ultimate Fighter 22 Lightweight Tournament Title,0.0
Ultimate Fighter Latin America 2 Welterweight Tournament Title,1.0
Ultimate Fighter Latin America 2 Lightweight Tournament Title,0.0
Ultimate Fighter Brazil 4 Lightweight Tournament Title,1.0
Ultimate Fighter Brazil 4 Bantamweight Tournament Title,1.0
Ultimate Fighter 21 Welterweight Tournament Title,1.0
Ultimate Fighter Latin America Featherweight Tournament Title,1.0
Ultimate Fighter Latin America Bantamweight Tournament Title,1.0
Ultimate Fighter China Featherweight Tournament Title,1.0
Ultimate Fighter 19 Light Heavyweight Tournament Title,1.0
Ultimate Fighter 19 Middleweight Tournament Title,0.0
Ultimate Fighter Brazil 3 Heavyweight Tournament Title,0.0
Ultimate Fighter Brazil 3 Middleweight Tournament Title,0.0
TUF Nations Canada vs. Australia Middleweight Tournament Title,0.0
TUF Nations Canada vs. Australia Welterweight Tournament Title,1.0
Ultimate Fighter China Welterweight Tournament Title,0.0
Ultimate Fighter 18 Women's Bantamweight Tournament Title,1.0
Ultimate Fighter 18 Bantamweight Tournament Title,1.0
Ultimate Fighter Brazil 2 Welterweight Tournament Title,0.0
Ultimate Fighter 17 Middleweight Tournament Title,0.0
Ultimate Fighter 16 Welterweight Tournament Title,1.0
Ultimate Fighter Australia vs. UK Welterweight Tournament Title,1.0
Ultimate Fighter Australia vs. UK Lightweight Tournament Title,0.0
Ultimate Fighter Brazil 1 Middleweight Tournament Title,1.0
Ultimate Fighter Brazil 1 Featherweight Tournament Title,0.0
Ultimate Fighter 15 Lightweight Tournament Title,1.0
Ultimate Fighter 14 Featherweight Tournament Title,1.0
Ultimate Fighter 14 Bantamweight Tournament Title,0.0
Ultimate Fighter 13 Welterweight Tournament Title,0.0
Ultimate Fighter 12 Lightweight Tournament Title,1.0
Ultimate Fighter 11 Middleweight Tournament Title,1.0
Ultimate Fighter 10 Heavyweight Tournament Title,1.0
Ultimate Fighter 9 Welterweight Tournament Title,1.0
Ultimate Fighter 9 Lightweight Tournament Title,1.0
Ultimate Fighter 8 Lightweight Tournament Title,1.0
Ultimate Fighter 8 Light Heavyweight Tournament Title,1.0
Ultimate Fighter 7 Middleweight Tournament Title,1.0
Ultimate Fighter 6 Welterweight Tournament Title,1.0
Ultimate Fighter 5 Lightweight Tournament Title,1.0
Ultimate Fighter 4 Welterweight Tournament Title,1.0
Ultimate Fighter 4 Middleweight Tournament Title,1.0
Ultimate Fighter 3 Light Heavyweight Tournament Title,1.0
Ultimate Fighter 3 Middleweight Tournament Title,1.0
Ultimate Fighter 2 Heavyweight Tournament Title,1.0
Ultimate Fighter 2 Welterweight Tournament Title,1.0
Ultimate Fighter 1 Light Heavyweight Tournament Title,1.0
Ultimate Fighter 1 Middleweight Tournament Title,1.0
Super Heavyweight,1.0
Ultimate Japan 2 Heavyweight Tournament Title,1.0
Open Weight,1.0
UFC 17 Middleweight Tournament Title,1.0
Ultimate Japan Heavyweight Tournament Title,1.0
UFC 15 Heavyweight Tournament Title,1.0
UFC 14 Heavyweight Tournament Title,1.0
UFC 14 Middleweight Tournament Title,1.0
UFC 13 Heavyweight Tournament Title,1.0
UFC 13 Lightweight Tournament Title,1.0
Ultimate Ultimate '96 Tournament Title,1.0
UFC 10 Tournament Title,1.0
UFC Superfight Championship,1.0
UFC 8 Tournament Title,1.0
Ultimate Ultimate '95 Tournament Title,1.0
UFC 7 Tournament Title,1.0
UFC 6 Tournament Title,1.0
UFC 5 Tournament Title,1.0
UFC 4 Tournament Title,1.0
UFC 3 Tournament Title,1.0
UFC 2 Tournament Title,1.0
